SR;NR
82.12266582245866;1.0
-180534.4656684687;1.0
1193.589181254818;1.0
629.8641463331805;1.0
-180803.7988286653;2.0
1381.426177668538;1.0
243.68770686382595;1.0
1073.8333416745008;1.0
110.25500511049904;2.0
90.08816394024507;1.0
-179609.94692502357;1.0
164.44266289433835;1.0
-2568.2963835568207;1.0
1533.612249873795;1.0
7558.498907841835;1.0
29349.254947623704;1.0
1463.2437337521042;1.0
809.3823235458276;-3.8909697972181174
1455.5255156687817;3.0
3309.3346380672374;6.0
6858.172347750606;6.0
1832.5183683051455;1.0
1174.4024197400995;1.0
1541.310311298941;1.0
-2568.2963835568207;1.0
3707.887428677388;1.0
-242.3942494107432;1.0
6685.094570634647;1.0
30428.46743373511;1.0
7322.199857693663;1.0
4435.306336687265;1.0
3071.2700531736573;1.0
757.7494665683116;1.0
592.2902711162224;2.0
640.6682280384048;1.0
-203.21855884758224;1.0
-2568.2963835568207;1.0
499.22786548678596;1.0
735.8122726714682;1.0
-625.5457055139796;1.0
80176.53899861888;1.0
338.135282842426;1.0
-486.39966775542234;1.0
3460.35924417573;1.0
29402.92675965188;6.0
-179285.33052729067;1.0
26495.669153742463;5.0
41911.93880158974;1.0
-2568.2963835568207;7.0
-179660.83614048603;-3.8909697972181174
4978.039356234309;1.0
-175576.4442228342;1.0
1555.7124521966543;1.0
1486.5883105297798;1.0
-162.42157883976506;1.0
1880.4019089300164;6.890969797218117
255.8692124775116;-3.8909697972181174
438.92284237151034;1.0
29817.858863905334;4.0
-1053.1309392694839;1.0
-2568.2963835568207;1.0
7223.2794943895815;2.0
18922.62582571798;2.0
149.43779215563154;1.0
2360.5581383523713;1.0
533.4912414417195;1.0
81.30768943282055;-3.8909697972181174
299.2980235047544;1.0
-380.7552040993651;1.0
1502.7993789948596;1.0
409.0267737164213;1.0
-446.9493310681246;1.0
-2568.2963835568207;-8.781939594436235
9760.659404775233;1.0
-306.6883272478699;1.0
-1461.305099329984;1.0
930.3264388535135;1.0
73.6786355199747;2.0
2220.479869701325;1.0
-460.26928837119704;1.0
-181624.9900147861;2.0
1009.6679440065855;1.0
-178284.24240088018;3.0
2366.191328189465;1.0
-2568.2963835568207;1.0
8583.916980540711;7.890969797218117
-388.641805346173;1.0
177.74397532136027;1.0
4002.303182853302;1.0
-202.95892605498193;1.0
17456.43902591075;4.0
754.830386569085;1.0
4583.001126469846;1.0
-27.508705968621143;1.0
4794.131352999999;1.0
11967.210987069839;1.0
-2568.2963835568207;4.0
